family_id	gene	n_members	n_green_rna_recovered	n_red_dna_only	n_grey	gfa_path	status	skip_reason
ID_399	NAIP	4	4	0	0	bench/soto/dna_graphs/ID_399_NAIP.gfa	rendered	
ID_400	NOTCH	6	6	0	0	bench/soto/dna_graphs/ID_400_NOTCH.gfa	rendered	
ID_402	NCF1	3	0	3	0	bench/soto/dna_graphs/ID_402_NCF1.gfa	rendered	
ID_403	NF1P	3	3	0	0	bench/soto/dna_graphs/ID_403_NF1P.gfa	rendered	
ID_407	NSUN	4	2	2	1865	bench/soto/dna_graphs/ID_407_NSUN.gfa	rendered	
ID_411	OR11H1	3	0	3	0	bench/soto/dna_graphs/ID_411_OR11H1.gfa	rendered	
ID_431	PPIAL4	5	0	5	0	bench/soto/dna_graphs/ID_431_PPIAL4.gfa	rendered	
ID_443	SHLD2	3	3	0	0	bench/soto/dna_graphs/ID_443_SHLD2.gfa	rendered	
ID_448	SEC22B	3	3	0	0	bench/soto/dna_graphs/ID_448_SEC22B.gfa	rendered	
ID_458	SPAG11	2	0	2	0	bench/soto/dna_graphs/ID_458_SPAG11.gfa	rendered	
ID_462	SRGAP2	4	4	0	0	bench/soto/dna_graphs/ID_462_SRGAP2.gfa	rendered	
ID_468	TBC1D3	9	9	0	0	bench/soto/dna_graphs/ID_468_TBC1D3.gfa	rendered	
ID_474	TP53TG3	3	3	0	0	bench/soto/dna_graphs/ID_474_TP53TG3.gfa	rendered	
ID_481	UBE2Q2	5	4	1	29	bench/soto/dna_graphs/ID_481_UBE2Q2.gfa	rendered	
ID_490	ZNF705	3	3	0	0	bench/soto/dna_graphs/ID_490_ZNF705.gfa	rendered	
