family_id	n_members	graph_score	core_cols	n_scored
FAM722	2	0.839	541	2
FAM723	2	0.179	318	2
FAM724	2	0.395	2896	2
FAM725	2	0.392	1486	2
FAM726	2	0.353	918	2
FAM727	2	0.394	1668	2
FAM728	2	0.339	1916	2
FAM729	2	0.593	1411	2
FAM730	2	0.856	1263	2
FAM731	2	0.664	952	2
FAM732	2	0.225	500	2
FAM733	2	0.411	353	2
FAM734	2	0.143	494	2
FAM735	2	0.042	24	2
FAM736	2	0.249	212	2
FAM737	2	0.318	414	2
FAM738	2	0.671	2232	2
FAM739	2	0.516	1729	2
FAM740	2	0.665	1395	2
FAM741	2	0.244	934	2
FAM742	2	0.599	906	2
FAM743	2	0.112	616	2
FAM744	2	0.913	395	2
FAM745	2	0.19	259	2
FAM746	2	0.642	4190	2
FAM747	2	0.283	1506	2
FAM748	2	0.354	1029	2
FAM749	2	0.515	1687	2
FAM750	2	0.789	1194	2
FAM751	2	0.338	824	2
FAM752	2	0.242	510	2
FAM753	2	0.508	617	2
FAM754	2	0.46	668	2
FAM755	2	0.253	513	2
FAM756	2	0.03	37	2
FAM757	2	0.624	2042	2
FAM758	2	0.366	1493	2
FAM759	2	0.231	987	2
FAM760	2	0.466	295	2
FAM761	2	0.194	797	2
FAM762	2	0.358	1089	2
FAM763	2	1.0	2017	2
FAM764	2	0.145	451	2
FAM765	2	0.161	549	2
FAM766	2	0.647	953	2
FAM767	2	0.557	504	2
FAM768	2	0.595	621	2
FAM769	2	0.208	558	2
FAM770	2	0.416	2470	2
FAM771	2	0.825	2574	2
FAM772	2	0.009	35	2
FAM773	2	0.31	824	2
FAM774	2	0.506	1022	2
FAM775	2	0.189	593	2
FAM776	2	0.305	773	2
FAM777	2	0.348	702	2
FAM778	2	0.152	1081	2
FAM779	2	0.555	712	2
FAM780	2	0.068	142	2
FAM781	2	0.526	316	2
FAM782	2	0.058	161	2
FAM783	2	0.124	137	2
FAM784	2	0.352	886	2
FAM785	2	0.26	1105	2
FAM786	2	0.553	1325	2
FAM787	2	0.511	1207	2
FAM788	2	0.094	249	2
FAM789	2	0.526	446	2
FAM790	2	0.792	400	2
FAM791	2	0.459	148	2
FAM792	2	0.842	3438	2
FAM793	2	0.445	1597	2
FAM794	2	0.223	853	2
FAM795	2	0.79	1242	2
FAM796	2	0.212	1105	2
FAM797	2	0.779	1195	2
FAM798	2	0.512	1519	2
FAM799	2	0.334	1037	2
FAM800	2	0.126	584	2
FAM801	2	0.332	508	2
FAM802	2	0.138	690	2
FAM803	2	0.265	410	2
FAM804	2	0.147	364	2
FAM805	2	0.406	1564	2
FAM806	2	0.008	28	2
FAM807	2	0.512	1583	2
FAM808	2	0.005	33	2
FAM809	2	0.575	975	2
FAM810	2	0.881	857	2
FAM811	2	0.442	478	2
FAM812	2	0.245	922	2
FAM813	2	0.583	1417	2
FAM814	2	0.473	631	2
FAM815	2	0.591	905	2
FAM816	2	0.298	584	2
FAM817	2	0.229	286	2
FAM818	2	0.724	451	2
FAM819	2	0.451	1007	2
FAM820	2	0.642	1347	2
FAM821	2	0.404	1219	2
FAM822	2	0.766	1241	2
FAM823	2	0.034	148	2
FAM824	2	0.358	675	2
FAM825	2	0.213	319	2
FAM826	2	0.102	199	2
FAM827	2	0.398	1311	2
FAM828	2	0.194	891	2
FAM829	2	0.012	27	2
FAM830	2	0.066	198	2
FAM831	2	0.922	952	2
FAM832	2	0.194	217	2
FAM833	2	0.223	500	2
FAM834	2	0.427	873	2
FAM835	2	0.033	31	2
FAM836	2	0.082	387	2
FAM837	2	0.124	163	2
FAM838	2	0.013	18	2
FAM839	2	0.909	492	2
FAM840	2	0.307	156	2
FAM841	2	0.505	583	2
FAM842	2	0.365	1433	2
FAM843	2	0.645	1016	2
FAM844	2	0.156	461	2
FAM845	2	0.064	389	2
FAM846	2	0.196	617	2
FAM847	2	0.453	829	2
FAM848	2	0.358	786	2
FAM849	2	0.099	600	2
FAM850	2	0.454	2627	2
FAM851	2	1.0	906	2
FAM852	2	0.325	817	2
FAM853	2	0.192	239	2
FAM854	2	0.261	2010	2
FAM855	2	0.526	944	2
FAM856	2	0.923	777	2
FAM857	2	0.285	463	2
FAM858	2	0.397	427	2
FAM859	2	0.877	536	2
FAM860	2	0.609	4274	2
FAM861	2	0.43	1190	2
FAM862	2	0.297	893	2
FAM863	2	0.296	578	2
FAM864	2	0.448	1269	2
FAM865	2	0.014	25	2
FAM866	2	0.437	808	2
FAM867	2	0.27	616	2
FAM868	2	0.361	948	2
FAM869	2	0.262	362	2
FAM870	2	0.683	638	2
FAM871	2	0.369	358	2
FAM872	2	0.205	1385	2
FAM873	2	0.144	973	2
FAM874	2	0.937	2710	2
FAM875	2	0.508	1726	2
FAM876	2	0.3	585	2
FAM877	2	0.318	571	2
FAM878	2	0.234	208	2
FAM879	2	0.409	1650	2
FAM880	2	0.312	1198	2
FAM881	2	0.732	1382	2
FAM882	2	0.077	202	2
FAM883	2	0.364	761	2
FAM884	2	0.18	182	2
FAM885	2	0.003	36	2
FAM886	2	0.48	1556	2
FAM887	2	0.479	1168	2
FAM888	2	0.306	892	2
FAM889	2	0.477	1224	2
FAM890	2	0.461	651	2
FAM891	2	0.724	611	2
FAM892	2	0.403	377	2
FAM893	2	0.199	466	2
FAM894	2	0.915	387	2
FAM895	2	0.722	297	2
FAM896	2	0.543	293	2
FAM897	2	0.296	2225	2
FAM898	2	0.16	711	2
FAM899	2	0.998	1850	2
FAM900	2	0.434	950	2
FAM901	2	0.367	920	2
FAM902	2	0.009	27	2
FAM903	2	0.075	317	2
FAM904	2	0.017	27	2
FAM905	2	0.585	662	2
FAM906	2	0.134	289	2
FAM907	2	0.3	516	2
