name	n_families	kept_pairs	kept_REAL	kept_GENUINE	kept_TRUTHBAR	tp_retention	overmerge_cut	truthbar_retention	genuine_precision	ge_genuine_cut	ge_real_kept	impure_blocks	impure_rate	oracle_blocks	oracle_recovered_genes	oracle_allele_as_copy	oracle_oversize_diploid	oracle_oversize_haploid_naive	oracle_multifam	oracle_median_log2_ratio_haploid	oracle_median_log2_ratio_diploid
louvain_res1	809	33193	454	17940	14799	0.987	0.861	0.3619	0.4595	0.1113	0.9979	105	0.1298	47	52	2	5	7	7	0.0	-1.0
louvain_res12	874	7891	450	5632	1809	0.9783	0.9564	0.0442	0.2863	0.5309	0.9895	106	0.1213	48	52	2	5	7	7	0.0	-1.0
louvain_res128	922	2416	376	1373	667	0.8174	0.9894	0.0163	0.4317	0.727	0.8143	118	0.128	50	49	2	2	4	4	0.0	-1.0
louvain_res16	882	6849	450	4710	1689	0.9783	0.9635	0.0413	0.3123	0.5418	0.9895	107	0.1213	49	52	2	3	7	6	0.0	-1.0
louvain_res2	811	22636	454	11680	10502	0.987	0.9095	0.2568	0.484	0.1645	0.9979	106	0.1307	48	52	2	6	8	7	0.0	-1.0
louvain_res24	888	5812	446	3993	1373	0.9696	0.9691	0.0336	0.313	0.5682	0.9768	108	0.1216	49	52	2	3	7	6	0.0	-1.0
louvain_res256	920	1970	325	1063	582	0.7065	0.9918	0.0142	0.4604	0.7707	0.7131	114	0.1239	48	45	2	2	4	3	0.0	-1.0
louvain_res32	890	4823	444	3206	1173	0.9652	0.9752	0.0287	0.3353	0.5928	0.9726	110	0.1236	49	52	2	3	6	6	0.0	-1.0
louvain_res4	824	12523	454	7446	4623	0.987	0.9423	0.1131	0.4054	0.3339	0.9979	106	0.1286	48	52	2	6	8	7	0.0	-1.0
louvain_res512	929	1528	270	776	482	0.587	0.994	0.0118	0.4921	0.8144	0.5738	105	0.113	49	44	1	0	2	2	-0.415	-1.0
louvain_res64	899	3642	431	2380	831	0.937	0.9816	0.0203	0.3465	0.6575	0.9557	114	0.1268	51	51	2	4	7	5	0.0	-1.0
louvain_res8	852	8652	453	5917	2282	0.9848	0.9542	0.0558	0.3161	0.5019	0.9958	106	0.1244	48	52	2	5	7	7	0.0	-1.0
raw_components	795	170404	460	129053	40891	1.0	0.0	1.0	0.2427	0.0	1.0	99	0.1245	44	52	2	3	5	7	0.0	-1.0
