fam	n	exit	reads_in_units	assigned	tied	amb	q60	q60_assigned	q60_agree	qlow	qlow_assigned	elapsed	rss_mb	forecast_unassignable
fam_MCL54_073242	4	exit=0	779	316	32	431	594	290	289	185	26	3.58	369	3
fam_MCL58_073242	3	exit=0	421	311	31	79	324	310	310	97	1	1.12	257	2
fam_MCL61_073242	2	exit=0	2	1	0	1	0	0	0	2	1	0.39	257	2
fam_MCL65_073244	3	exit=0	97	12	9	76	96	12	10	1	0	10.7	549	0
fam_MCL67_073242	2	exit=0	183	183	0	0	183	183	183	0	0	0.34	257	0
fam_MCL68_073242	4	exit=0	9	2	0	7	9	2	2	0	0	0.3	257	0
fam_MCL69_073244	2	exit=0	42	34	6	2	37	34	34	5	0	0.52	159	2
fam_MCL6_073244	9	exit=0	1396	86	131	1179	1396	86	84	0	0	14.77	1691	0
fam_MCL71_073244	2	exit=0	17	16	1	0	17	16	16	0	0	0.24	159	1
fam_MCL75_073241	2	exit=0	1	1	0	0	1	1	1	0	0	0.3	227	0
fam_MCL76_073241	2	exit=0	195	0	195	0	195	0	0	0	0	0.4	227	2
fam_MCL78_073241	3	exit=0	203	152	51	0	203	152	152	0	0	0.43	227	3
fam_MCL7_073242	11	exit=0	696	156	347	193	601	155	154	95	1	4.77	966	5
fam_MCL83_073242	2	exit=0	31	3	1	27	31	3	3	0	0	0.4	257	0
fam_MCL86_073242	3	exit=0	1048	88	135	825	1012	78	72	36	10	1.97	426	0
fam_MCL87_073242	2	exit=0	1025	905	7	113	1017	898	898	8	7	0.81	257	0
fam_MCL88_073242	3	exit=0	2364	226	15	2123	2347	223	223	17	3	1.71	346	3
fam_MCL89_073242	2	exit=0	7	0	0	7	7	0	0	0	0	0.45	257	2
fam_MCL8_073244	3	exit=0	12	2	1	9	12	2	2	0	0	0.54	220	0
fam_MCL90_073242	2	exit=0	17	9	1	7	10	5	5	7	4	1.34	364	0
fam_MCL94_073242	2	exit=0	1069	731	6	332	1066	728	728	3	3	0.93	257	0
fam_MCL95_073242	3	exit=0	2830	1978	30	822	2762	1975	1972	68	3	2.97	341	2
fam_MCL96_073242	3	exit=0	1006	12	47	947	897	9	9	109	3	0.82	257	3
fam_MCL9_073244	10	exit=0	876	301	95	480	876	301	288	0	0	15.3	2721	0
