family	gene	n_loci	chi_H	n_resolvable	collapsed_excess	E_fam_reads	lambda_within	depth_cn_within	within_ref_hidden_copies	depth_cn_within_plus_hidden	depth_cn_global	rna_cn_lower_bound	expr_cv	dominant_copy_share	all_collapsed_no_tier1	asm_hapCN_dna
173	LOC101149946	2	2	2	0	8	4.0	2.0	0	2.0	1.33	2	0.25	0.625	0	3.0
174	LOC115930831	2	2	2	0	11	5.5	2.0	0	2.0	1.83	2	0.273	0.636	0	5.0
175	UBE2Q2P16	2	1	0	1	8	4.0	2.0	0	2.0	1.33	2	0.0	0.5	1	3.0
176	LOC115931067	2	1	0	1	8	4.0	2.0	0	2.0	1.33	2	0.0	0.5	1	2.0
177	PDPK1	2	2	2	0	27	13.5	2.0	1	3.0	4.5	2	0.778	0.889	0	2.0
178	LOC115933250	2	2	2	0	50	25.0	2.0	1	3.0	8.33	2	0.6	0.8	0	4.0
179	BMERB1	2	2	2	0	192	96.0	2.0	1	3.0	32.0	2	0.948	0.974	0	2.0
181	LOC134757438	2	2	2	0	10	5.0	2.0	0	2.0	1.67	2	0.0	0.5	0	4.0
182	LOC129527663	2	2	2	0	6	3.0	2.0	0	2.0	1.0	2	0.0	0.5	0	3.0
183	LOC115933369	2	2	2	0	8	4.0	2.0	0	2.0	1.33	2	0.25	0.625	0	3.0
189	LOC115931590	2	2	2	0	12	6.0	2.0	1	3.0	2.0	2	0.5	0.75	0	2.0
191	LOC129530554	2	1	0	1	17	8.5	2.0	1	3.0	2.83	2	0.529	0.765	1	3.0
192	LOC101142904	2	2	2	0	16	8.0	2.0	0	2.0	2.67	2	0.375	0.688	0	3.0
193	LOC115932281	2	2	2	0	25	12.5	2.0	0	2.0	4.17	2	0.12	0.56	0	5.0
195	LOC129529923	2	2	2	0	23	11.5	2.0	0	2.0	3.83	2	0.043	0.522	0	3.0
